; Sample Rate 44100
; Channels 2
               0                0               0 
   2.2675737e-05  0.0091552734375 0.0091552734375 
   4.5351474e-05   0.018310546875  0.018310546875 
   6.8027211e-05   0.027435302734  0.027435302734 
   9.0702948e-05   0.036529541016  0.036529541016 
   0.00011337868   0.045593261719  0.045593261719 
   0.00013605442   0.054595947266  0.054595947266 
   0.00015873016   0.063598632812  0.063598632812 
    0.0001814059   0.072570800781  0.072570800781 
   0.00020408163   0.081512451172  0.081512451172 
   0.00022675737   0.090423583984  0.090423583984 
   0.00024943311   0.099273681641  0.099273681641 
   0.00027210884     0.1081237793    0.1081237793 
   0.00029478458     0.1169128418    0.1169128418 
   0.00031746032    0.12567138672   0.12567138672 
   0.00034013605    0.13439941406   0.13439941406 
   0.00036281179    0.14306640625   0.14306640625 
   0.00038548753    0.15173339844   0.15173339844 
   0.00040816327    0.16033935547   0.16033935547 
     0.000430839    0.16891479492   0.16891479492 
   0.00045351474    0.17742919922   0.17742919922 
   0.00047619048    0.18594360352   0.18594360352 
   0.00049886621    0.19439697266   0.19439697266 
   0.00052154195    0.20278930664   0.20278930664 
   0.00054421769    0.21115112305   0.21115112305 
   0.00056689342    0.21948242188   0.21948242188 
   0.00058956916    0.22775268555   0.22775268555 
    0.0006122449    0.23599243164   0.23599243164 
   0.00063492063    0.24420166016   0.24420166016 
   0.00065759637    0.25234985352   0.25234985352 
   0.00068027211    0.26043701172   0.26043701172 
   0.00070294785    0.26849365234   0.26849365234 
   0.00072562358    0.27648925781   0.27648925781 
   0.00074829932     0.2844543457    0.2844543457 
   0.00077097506    0.29238891602   0.29238891602 
   0.00079365079    0.30023193359   0.30023193359 
   0.00081632653    0.30804443359   0.30804443359 
   0.00083900227    0.31582641602   0.31582641602 
     0.000861678    0.32354736328   0.32354736328 
   0.00088435374    0.33120727539   0.33120727539 
   0.00090702948    0.33880615234   0.33880615234 
   0.00092970522    0.34637451172   0.34637451172 
   0.00095238095    0.35388183594   0.35388183594 
   0.00097505669      0.361328125     0.361328125 
   0.00099773243    0.36874389648   0.36874389648 
    0.0010204082    0.37609863281   0.37609863281 
    0.0010430839    0.38339233398   0.38339233398 
    0.0010657596         0.390625        0.390625 
    0.0010884354    0.39782714844   0.39782714844 
    0.0011111111    0.40493774414   0.40493774414 
    0.0011337868    0.41201782227   0.41201782227 
    0.0011564626    0.41903686523   0.41903686523 
    0.0011791383    0.42599487305   0.42599487305 
    0.0012018141     0.4328918457    0.4328918457 
    0.0012244898    0.43975830078   0.43975830078 
